Year,Big_Mac_Index_Local_Cost_Canada,Big_Mac_Index_CANUSD,CAN_USD_Jan,Consumer_Price_Index_NS_Food,NS_Unemployment_Rate_Per_Cent,Individuals_Assisted_by_Food_Banks,ALC_Wager_NS_Thousands,VLT_Wager_NS_Thousands,Median_Income_NS,Low_Income_NS_Rate_Per_Cent,Individuals_Assisted_NS_Food_Banks
2000,2.85,1.94,0.690098,,9.1,,194620,450542,39500,11.6,
2001,3.33,2.14,0.66544,,9.7,,204055,475681,40800,10.6,
2002,3.33,2.12,0.62508,,9.6,,204421,575750,40000,9.9,
2003,3.2,2.17,0.648365,,9.1,,212259,767518,39300,11.2,
2004,3.19,2.33,0.771389,,8.8,,206281,821481,41200,10,
2005,3.28,2.63,0.825926,,8.4,,200471,895076,42100,8.6,
2006,3.52,3.01,0.863293,,7.9,,210677,819962,42800,8.6,
2007,3.88,3.09,0.851383,,8,,215124,717153,43700,8.2,
2008,4.09,4.08,0.989995,,7.6,16915,203334,673048,43500,8.2,16915
2009,3.89,3.35,0.816009,,9.2,20344,203562,708447,44200,8,20344
2010,4.17,3.97,0.957729,,9.6,22573,199574,688477,45000,7.7,22573
2011,4.73,5,1.006039,,9,22505,216119,672622,46100,7,22505
2012,5.12,4.63,0.983957,125.1,9.1,23561,207295,676758,,,23561
2013,5.53,5.39,1.007892,126.6,9.1,21760,214035,579753,,,21760
2014,5.64,5.01,0.91732,128.8,9,19664,217537,586659,,,
2015,5.7,4.64,0.826967,129.3,8.6,19722,208528,595979,,,
2016,6,4.14,0.7054,130.9,8.3,23840,231200,613118,,,
