Year,Big_Mac_Index_Local_Cost_Canada,Consumer_Price_Index_NS_Food,NS_Unemployment_Rate_Per_Cent,ALC_Wager_NS_Thousands,VLT_Wager_NS_Thousands,Median_Income_NS,Low_Income_NS_Rate_Per_Cent,Individuals_Assisted_NS_Food_Banks
2000,2.85,,9.1,194620,,39500,11.6,
2001,3.33,,9.7,204055,,40800,10.6,
2002,3.33,,9.6,204421,,40000,9.9,
2003,3.2,,9.1,212259,,39300,11.2,
2004,3.19,,8.8,206281,,41200,10,
2005,3.28,,8.4,200471,,42100,8.6,
2006,3.52,,7.9,210677,,42800,8.6,
2007,3.88,,8,215124,717153,43700,8.2,
2008,4.09,,7.6,203334,673048,43500,8.2,16915
2009,3.89,,9.2,203562,708447,44200,8,20344
2010,4.17,,9.6,199574,688477,45000,7.7,22573
2011,4.73,,9,216119,672622,46100,7,22505
2012,5.12,125.1,9.1,207295,676758,,,23561
2013,5.53,126.6,9.1,214035,579753,,,21760
2014,5.64,128.8,9,217537,586659,,,
2015,5.7,129.3,8.6,208528,595979,,,
2016,6,130.9,8.3,231200,613118,,,
2017,5.97,,8.8,220307,,,,
